epoch,lr-AdamW,step,train_loss_step
,0.001,0,
0,,9,0.538190484046936
0,,19,0.48738160729408264
0,,29,0.44468680024147034
0,,39,0.36576616764068604
0,,49,0.3908963203430176
0,,59,0.3826243579387665
0,,69,0.42628103494644165
0,,79,0.35972145199775696
0,,89,0.3471497595310211
0,,99,0.33684420585632324
0,,109,0.2934409976005554
0,,119,0.3416147530078888
0,,129,0.4533405900001526
0,,139,0.4127889573574066
0,,149,0.31278201937675476
0,,159,0.2729904353618622
0,,169,0.304242342710495
0,,179,0.4156111180782318
